Polymer,Polymer CAS,Polymer SMILES,Solvent,Solvent CAS,Solvent SMILES,Mw(Da),PDI,ϕ,w,P(Mpa),CP(°C),1-Phase,Ref.
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane,79-24-3,CC[N+](=O)[O-],27200,1.03,0.1278,0.1202,4.73,-3.97,positive,doi.org/10.1006/jcht.1999.0607
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane,79-24-3,CC[N+](=O)[O-],27200,1.03,0.17425,0.1644,4.44,-4.08,positive,doi.org/10.1006/jcht.1999.0607
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane,79-24-3,CC[N+](=O)[O-],27200,1.03,0.19746,0.1866,0.48,-3.87,positive,doi.org/10.1006/jcht.1999.0607
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],propionitrile,107-12-0,CCC#N,26700,1.05,0.09173,0.11,2.28,172.28,negative,doi.org/10.1021/ma9517308
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane,79-24-3,CC[N+](=O)[O-],85200,1.02,0.11958,0.1124,0.25,14.99,positive,doi.org/10.1006/jcht.1999.0607
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane,79-24-3,CC[N+](=O)[O-],27200,1.03,0.1278,0.1202,2.45,-3.77,positive,doi.org/10.1006/jcht.1999.0607
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane,79-24-3,CC[N+](=O)[O-],85200,1.02,0.05673,0.0531,3.64,13.35,positive,doi.org/10.1006/jcht.1999.0607
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],propionitrile,107-12-0,CCC#N,26700,1.05,0.11749,0.1401,4.43,25.26,positive,doi.org/10.1021/ma9517308
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane-d5,57817-88-6,[2H]C([2H])([2H])C([2H])([2H])[N+](=O)[O-],85200,1.02,0.07629,0.0715,4.45,37.45,positive,doi.org/10.1006/jcht.1999.0607
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],"1,1,1,3,3,3-hexadeutero-2-propanone",666-52-4,[2H]C([2H])([2H])C(=O)C([2H])([2H])[2H],26900,1.06,0.14505,0.16,3.83,63.08,positive,doi.org/10.1021/ma00107a011
polystyrene-d8,27732-42-9,[2H]C([2H])(*)C(*)([2H])c1c([2H])c([2H])c([2H])c([2H])c1[2H],nitroethane,79-24-3,CC[N+](=O)[O-],27200,1.03,0.15421,0.1453,1.41,-3.81,positive,doi.org/10.1006/jcht.1999.0607
