,|M|n|||4|||elm|C-C-C.R,|M|n|||4|||elm|C-C.C-R,|M|n|||4|||elm|C.C-C-R,|M|n|||4|||elm|C.C-C-C,|M|n|||4|||elm|C-C.C-C,|M|n|||4|||elm|C.C-C=C,|M|n|||4|||elm|C-C.C=C,|S|n|||4|||elm|C-C(-C)-C,|S|n|||4|||elm|C(-C-R)-R,|S|n|||4|||elm|C-C.C-C,|S|n|||4|||elm|C-C-C=C,|S|n|||4|||elm|C.C-C=C,|S|n|||4|||elm|C-C-C-C,|S|n|||4|||elm|C-C-C-R,|S|n|||4|||elm|C.C-C-C,|S|n|||4|||elm|C-C(-C)=C,|S|n|||4|||elm|C-C.C-R,|S|n|||4|||elm|C-C=C.R,|S|n|||4|||elm|C-R.C=C,|S|n|||4|||elm|C(-C=C)=C,|S|n|||4|||elm|C-C-R.R,|S|n|||4|||elm|C-C(-C)-R,|S|n|||4|||elm|C(-C-R)=C,|S|n|||4|||elm|C-C=C-C,|S|n|||4|||elm|C.C-C-R,|S|n|||4|||elm|C-C.C=C,|S|n|||4|||elm|C-C-C.R,|M|n|||4|||elm|C-C-O.R,|M|n|||4|||elm|C-O.C-R,|M|n|||4|||elm|C-C-R.O,|M|n|||4|||elm|C.C-C-O,|M|n|||4|||elm|C-C.C-O,|M|n|||4|||elm|C-C-C.O,|M|n|||4|||elm|C-C=C.O,|M|n|||4|||elm|C-O.C=C,|S|n|||4|||elm|C-C(-C)-O,|S|n|||4|||elm|C-C-C-O,|S|n|||4|||elm|C-C.C-O,|S|n|||4|||elm|C.C-C-O,|S|n|||4|||elm|C-C-C.O,|M|n|||4|||elm|C-C-N.R,|M|n|||4|||elm|C-N=O.R,|M|n|||4|||elm|C-N-O.R,|M|n|||4|||elm|N(-O)=O.R,|M|n|||4|||elm|C-N.C-R,|M|n|||4|||elm|C-R.N=O,|M|n|||4|||elm|C-R.N-O,|M|n|||4|||elm|C-C-R.N,|M|n|||4|||elm|C.C-C-N,|M|n|||4|||elm|C.C-N=O,|M|n|||4|||elm|C.C-N-O,|M|n|||4|||elm|C.N(-O)=O,|M|n|||4|||elm|C-C.C-N,|M|n|||4|||elm|C-C.N=O,|M|n|||4|||elm|C-C.N-O,|M|n|||4|||elm|C-C-C.N,|M|n|||4|||elm|C-C=C.N,|M|n|||4|||elm|C-N.C=C,|M|n|||4|||elm|C=C.N=O,|M|n|||4|||elm|C=C.N-O,|S|n|||4|||elm|C-N(-O)=O,|S|n|||4|||elm|C.N(-O)=O,|S|n|||4|||elm|C-C-N=O,|S|n|||4|||elm|C-C-N-O,|M|n|||4|||elm|C-O-C.R,|M|n|||4|||elm|C(-O)=O.R,|M|n|||4|||elm|C-C=O.R,|M|n|||4|||elm|C-R.C=O,|M|n|||4|||elm|C.C-O-C,|M|n|||4|||elm|C.C(-O)=O,|M|n|||4|||elm|C.C-C=O,|M|n|||4|||elm|C-C.C=O,|M|n|||4|||elm|C=C.C=O,|S|n|||4|||elm|C-C-O-C,|S|n|||4|||elm|C-C(-O)=O,|S|n|||4|||elm|C-C.C=O,|S|n|||4|||elm|C.C(-O)=O,|S|n|||4|||elm|C-C-O.O,|S|n|||4|||elm|C.C-C=O,|S|n|||4|||elm|C-O-C=O,|M|n|||4|||elm|C-C#N.R,|M|n|||4|||elm|C#N.C-R,|M|n|||4|||elm|C.C-C#N,|M|n|||4|||elm|C#N.C-C,|M|n|||4|||elm|C#N.C=C,|S|n|||4|||elm|C-C-C#N,|S|n|||4|||elm|C-C(-C)=O,|M|n|||4|||elm|C-C=C.R,|M|n|||4|||elm|C-R.C=C,|M|n|||4|||elm|C=C.C=C,|S|n|||4|||elm|C=C.C=O,|S|n|||4|||elm|C(-C-O)=C,|S|n|||4|||elm|C-O-C.O,|S|n|||4|||elm|C-C-C=O,|S|n|||4|||elm|C(-C=O)=C,|S|n|||4|||elm|C-C=C.O,|S|n|||4|||elm|C(-O)=O.O,|S|n|||4|||elm|C=O.C=O,|S|n|||4|||elm|C.C-O-C,|S|n|||4|||elm|C-C=O.O,|S|n|||4|||elm|C-O.C=C,|S|n|||4|||elm|C-O.C-O,|S|n|||4|||elm|C-O.C=O,|M|n|||4|||elm|C(-H)-H.R,|M|n|||4|||elm|C-C-H.R,|M|n|||4|||elm|C-H.C-R,|M|n|||4|||elm|C-C-R.H,|M|n|||4|||elm|C.C(-H)-H,|M|n|||4|||elm|C.C-C-H,|M|n|||4|||elm|C-C.C-H,|M|n|||4|||elm|C-C-C.H,|M|n|||4|||elm|C-C=C.H,|M|n|||4|||elm|C-H.C=C,|S|n|||4|||elm|C(-H)(-H)-H,|S|n|||4|||elm|C-H.C-H,|S|n|||4|||elm|C.C(-H)-H,|S|n|||4|||elm|C-C-H.H,|S|n|||4|||elm|C(-H)-H.O,|S|n|||4|||elm|C-C(-H)-H,|S|n|||4|||elm|C-C=O.H,|S|n|||4|||elm|C-C-C-H,|S|n|||4|||elm|C(-C=O)-H,|S|n|||4|||elm|C(-H)-H.H,|M|n|||4|||elm|C-C-O.O,|M|n|||4|||elm|C(-O)-R.O,|M|n|||4|||elm|C-O-C.O,|S|n|||4|||elm|C(-C-R)-O,|S|n|||4|||elm|C-O-C-R,|S|n|||4|||elm|C-C(-O)-R,|S|n|||4|||elm|C-O-C.R,|S|n|||4|||elm|C-O.C-R,|S|n|||4|||elm|C(-O)-R.R,|M|n|||4|||elm|H-O-H.R,|M|n|||4|||elm|C-R.H-O,|M|n|||4|||elm|C.H-O-H,|M|n|||4|||elm|C-C.H-O,|M|n|||4|||elm|C-C-O.H,|M|n|||4|||elm|C(-O)-R.H,|M|n|||4|||elm|C-O.H-O,|M|n|||4|||elm|C-O-C.H,|M|n|||4|||elm|H-O-H.O,|M|n|||4|||elm|C.C-C-Cl,|M|n|||4|||elm|C.C(-Cl)-R,|M|n|||4|||elm|C-C.C-Cl,|M|n|||4|||elm|C-Cl.C=C,|M|n|||4|||elm|C-C=C.Cl,|M|n|||4|||elm|C-C-C.Cl,|S|n|||4|||elm|C-C(-Cl)-R,|S|n|||4|||elm|C(-C-R)-Cl,|S|n|||4|||elm|C(-Cl)-R.R,|M|n|||4|||elm|C=C-O.R,|M|n|||4|||elm|C.C=C-O,|M|n|||4|||elm|C-C-Cl.O,|M|n|||4|||elm|C(-Cl)-R.O,|M|n|||4|||elm|C-Cl.C-O,|M|n|||4|||elm|C-C-O.Cl,|M|n|||4|||elm|C-O-C.Cl,|M|n|||4|||elm|C=C-O.Cl,|S|n|||4|||elm|C=C-O-C,|S|n|||4|||elm|C-C(=C)-O,|S|n|||4|||elm|C-C=C-O,|S|n|||4|||elm|C.C=C-O,|M|n|||4|||elm|C-O.C-O,|M|n|||4|||elm|C.C(-O)-R,|S|n|||4|||elm|C(-C-O)-O,|S|n|||4|||elm|C-C-O.R,|S|n|||4|||elm|C(-O)-R.O,|S|n|||4|||elm|C-C=O.R,|S|n|||4|||elm|C-R.C=O,|S|n|||4|||elm|C.C(-O)-R,|S|n|||4|||elm|C-C-R.O,|S|n|||4|||elm|C(-O)=O.R,|M|n|||4|||elm|C-C-N.O,|M|n|||4|||elm|C-N-C.O,|M|n|||4|||elm|C(-N)=O.O,|M|n|||4|||elm|C-C=O.O,|S|n|||4|||elm|C-C.C-N,|S|n|||4|||elm|C.C-N-C,|S|n|||4|||elm|C-N-C.R,|S|n|||4|||elm|C-C-N-C,|S|n|||4|||elm|C-C-N.O,|S|n|||4|||elm|C-C-R.N,|S|n|||4|||elm|C(-C-R)-N,|S|n|||4|||elm|C-N-C=O,|S|n|||4|||elm|C-C-C-N,|S|n|||4|||elm|C-N.C-R,|S|n|||4|||elm|C(-C-R)=O,|S|n|||4|||elm|C-C-N.R,|S|n|||4|||elm|C-C(-C)-N,|S|n|||4|||elm|C(-N)=O.R,|S|n|||4|||elm|C.C-C-N,|S|n|||4|||elm|C-C(-N)=O,|S|n|||4|||elm|C.C(-N)=O,|M|n|||4|||elm|C(-O)=O.O,|M|n|||4|||elm|C-O.C=O,|M|n|||4|||elm|C=O.C=O,|M|n|||4|||elm|C.C-C-S,|M|n|||4|||elm|C.C-S=O,|M|n|||4|||elm|C.C-S-C,|M|n|||4|||elm|C.O=S=O,|M|n|||4|||elm|C-O.C-S,|M|n|||4|||elm|C-O.O=S,|M|n|||4|||elm|C-O-C.S,|M|n|||4|||elm|C-C-S.O,|M|n|||4|||elm|C-S=O.O,|M|n|||4|||elm|C-S-C.O,|M|n|||4|||elm|O.O=S=O,|M|n|||4|||elm|C(-O)=O.S,|M|n|||4|||elm|C-C-O.S,|M|n|||4|||elm|C-S.C=O,|M|n|||4|||elm|C=O.O=S,|M|n|||4|||elm|C-C=O.S,|M|n|||4|||elm|C-C.C-S,|M|n|||4|||elm|C-C.O=S,|M|n|||4|||elm|C-C-C.S,|M|n|||4|||elm|C-C-R.S,|M|n|||4|||elm|C-R.C-S,|M|n|||4|||elm|C-R.O=S,|M|n|||4|||elm|C-C-S.R,|M|n|||4|||elm|C-S=O.R,|M|n|||4|||elm|C-S-C.R,|M|n|||4|||elm|O=S=O.R,|S|n|||4|||elm|C-C-C-S,|S|n|||4|||elm|C-C.O=S,|S|n|||4|||elm|C.C-S=O,|S|n|||4|||elm|C-C-S=O,|S|n|||4|||elm|C-S(=O)=O,|S|n|||4|||elm|C-S(-C)=O,|S|n|||4|||elm|C.O=S=O,|S|n|||4|||elm|C-C-S-C,|M|n|||4|||elm|C-O-R.O,|S|n|||4|||elm|C-R.O-R,|S|n|||4|||elm|C-O-R.R,|S|n|||4|||elm|C-C-O-R,|M|n|||4|||elm|C-C.C-Si,|M|n|||4|||elm|C-O.C-Si,|M|n|||4|||elm|C-Si.C=C,|M|n|||4|||elm|C.C-Si-R,|M|n|||4|||elm|C-Si-R.O,|M|n|||4|||elm|C.C-Si-C,|M|n|||4|||elm|C-Si-C.O,|M|n|||4|||elm|C.C-Si-O,|M|n|||4|||elm|C-Si-O.O,|M|n|||4|||elm|C-C-O.Si,|M|n|||4|||elm|C-O-C.Si,|M|n|||4|||elm|C=C-O.Si,|M|n|||4|||elm|C-C=C.Si,|M|n|||4|||elm|C-C.R-Si,|M|n|||4|||elm|C-O.R-Si,|M|n|||4|||elm|C=C.R-Si,|M|n|||4|||elm|C.O-Si-R,|M|n|||4|||elm|O.O-Si-R,|M|n|||4|||elm|C-C.O-Si,|M|n|||4|||elm|C-O.O-Si,|M|n|||4|||elm|C=C.O-Si,|M|n|||4|||elm|C.O(-R)-Si,|M|n|||4|||elm|O.O(-R)-Si,|M|n|||4|||elm|C=C-O.O,|M|n|||4|||elm|C-C.O-R,|M|n|||4|||elm|C-O.O-R,|M|n|||4|||elm|C=C.O-R,|S|n|||4|||elm|C-Si-O-R,|S|n|||4|||elm|C-Si(-C)-R,|S|n|||4|||elm|C-Si(-O)-R,|S|n|||4|||elm|C-Si-R.R,|S|n|||4|||elm|C-Si-C.R,|S|n|||4|||elm|O(-R)-Si-R,|S|n|||4|||elm|C-Si(-C)-O,|M|n|||4|||elm|C-Si.C=O,|M|n|||4|||elm|C-C=O.Si,|M|n|||4|||elm|C-C-C.Si,|M|n|||4|||elm|C=O.R-Si,|M|n|||4|||elm|C=O.O-Si,|M|n|||4|||elm|C=O.O-R,|M|n|||4|||elm|C-Si.C-Si,|M|n|||4|||elm|C-Si-R.Si,|M|n|||4|||elm|C-Si-C.Si,|M|n|||4|||elm|C-Si-O.Si,|M|n|||4|||elm|C-Si.R-Si,|M|n|||4|||elm|O-Si-R.Si,|M|n|||4|||elm|C-Si.O-Si,|M|n|||4|||elm|O(-R)-Si.Si,|M|n|||4|||elm|C-Si-C.R,|M|n|||4|||elm|C-Si.O-R,|S|n|||4|||elm|C-Si(-C)-C,|M|n|||4|||elm|C-N-R.O,|S|n|||4|||elm|C-N-R.R,|S|n|||4|||elm|C.C-N-R,|S|n|||4|||elm|C-N-R.O,|S|n|||4|||elm|C-R.N-R,|S|n|||4|||elm|C-N(-C)-R,|S|n|||4|||elm|C-C.N-R,|S|n|||4|||elm|C-C-N-R,|S|n|||4|||elm|C(-N-R)=O,|M|n|||4|||elm|C.C-O-R,|M|n|||4|||elm|C.C=C-R,|S|n|||4|||elm|C.C=C-R,|S|n|||4|||elm|C=C-R.R,|S|n|||4|||elm|C=C-O-R,|S|n|||4|||elm|C=C.O-R,|S|n|||4|||elm|C.C-O-R,|S|n|||4|||elm|C-C(=C)-R,|S|n|||4|||elm|C=C-O.R,|S|n|||4|||elm|C-C.O-R,|S|n|||4|||elm|C-C=C-R,|S|n|||4|||elm|C=C-R.O,|M|n|||4|||elm|C(-O)-O.O,|S|n|||4|||elm|C.C(-O)-O,|S|n|||4|||elm|C-O.O-R,|S|n|||4|||elm|C(-O)-O.R,|S|n|||4|||elm|C-O-C-O,|S|n|||4|||elm|C(-O)-O-R
"('polystyrene', 'methylcyclohexane')",16,14,21,78,35,49,21,1,1,8,2,17,9,2,18,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'cyclohexanol')",12,12,18,60,30,42,18,0,1,6,2,17,7,2,11,1,5,13,5,3,1,1,1,4,13,6,1,4,2,3,16,5,2,7,3,1,2,2,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'methylcyclopentane')",14,12,18,68,30,42,18,1,1,4,2,17,8,2,9,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'nitroethane')",0,2,6,4,5,14,3,0,1,3,2,17,1,2,5,1,5,13,5,3,1,1,1,4,13,6,1,0,0,6,0,0,4,14,0,0,0,0,0,0,2,2,2,2,2,2,2,3,8,8,8,8,5,5,5,2,7,3,3,3,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'ethyl acetate')",0,4,12,8,10,28,6,0,1,4,2,17,1,2,5,1,5,13,5,3,1,1,1,4,13,6,1,4,4,6,16,10,4,14,6,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,8,8,8,5,3,2,1,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'cyclopentane')",10,10,15,50,25,35,15,0,1,3,2,17,6,2,5,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'propionitrile')",2,4,9,14,10,21,6,0,1,3,2,17,1,2,5,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,8,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', '2-propanone')",2,4,9,14,10,21,6,0,1,3,2,17,1,2,5,1,5,13,5,3,1,1,1,4,13,6,1,0,0,3,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,16,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'acetaldehyde')",0,2,6,4,5,14,3,0,1,3,2,17,1,2,5,1,5,13,5,3,1,1,1,4,13,6,1,0,0,3,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"('polystyrene', 'cyclohexane')",12,12,18,60,30,42,18,0,1,6,2,17,7,2,11,1,5,13,5,3,1,1,1,4,13,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
