No,EtOx,nPropOx,cPropOx,iPropOx,molecular mass,Cloud Point
5,100.0,0.0,0,0.0,6700.0,90.6
6,150.0,0.0,0,0.0,9000.0,85.3
7,200.0,0.0,0,0.0,13300.0,78.3
8,300.0,0.0,0,0.0,21000.0,73.5
9,500.0,0.0,0,0.0,37300.0,69.3
10,0.0,15.0,0,0.0,3100.0,42.9
11,0.0,20.0,0,0.0,3700.0,39.0
12,0.0,25.0,0,0.0,4300.0,37.5
13,0.0,50.0,0,0.0,6200.0,30.3
14,0.0,100.0,0,0.0,8140.0,29.6
15,0.0,150.0,0,0.0,12300.0,25.5
16,0.0,200.0,0,0.0,15500.0,24.1
17,0.0,300.0,0,0.0,18000.0,22.5
21,35.0,15.0,0,0.0,3700.0,82.0
22,30.0,20.0,0,0.0,3700.0,72.2
23,25.0,25.0,0,0.0,4000.0,59.8
24,20.0,30.0,0,0.0,5400.0,51.3
25,15.0,35.0,0,0.0,3900.0,45.8
26,10.0,40.0,0,0.0,3800.0,40.0
27,5.0,45.0,0,0.0,4000.0,34.2
28,0.0,50.0,0,0.0,4200.0,29.6
29,100.0,0.0,0,0.0,15300.0,94.1
30,90.0,10.0,0,0.0,15200.0,81.6
31,80.0,20.0,0,0.0,13600.0,75.5
32,70.0,30.0,0,0.0,12600.0,64.8
33,60.0,40.0,0,0.0,13000.0,55.9
34,50.0,50.0,0,0.0,10700.0,51.1
35,40.0,60.0,0,0.0,10200.0,44.2
36,30.0,70.0,0,0.0,9700.0,40.0
37,20.0,80.0,0,0.0,9600.0,34.8
38,10.0,90.0,0,0.0,7800.0,31.2
39,0.0,100.0,0,0.0,8140.0,28.0
40,150.0,0.0,0,0.0,17700.0,83.9
41,135.0,15.0,0,0.0,17000.0,71.5
42,120.0,30.0,0,0.0,17700.0,63.1
43,105.0,45.0,0,0.0,17200.0,53.7
44,90.0,60.0,0,0.0,17900.0,49.2
45,75.0,75.0,0,0.0,17600.0,42.6
46,60.0,90.0,0,0.0,18600.0,37.3
47,45.0,105.0,0,0.0,17900.0,34.1
48,30.0,120.0,0,0.0,18500.0,29.1
49,15.0,135.0,0,0.0,18600.0,24.5
50,0.0,150.0,0,0.0,17200.0,24.1
51,0.0,0.0,100,0.0,19700.0,28.0
52,11.0,0.0,89,0.0,20500.0,33.0
53,20.0,0.0,80,0.0,18000.0,39.0
54,31.0,0.0,69,0.0,14600.0,46.0
55,50.0,0.0,50,0.0,13400.0,57.0
56,69.0,0.0,31,0.0,15400.0,72.0
57,78.0,0.0,22,0.0,14100.0,79.0
58,100.0,0.0,0,0.0,14000.0,91.0
60,22.0,0.0,0,78.0,9300.0,67.3
61,48.0,0.0,0,52.0,9300.0,55.2
62,73.0,0.0,0,27.0,9300.0,46.0
63,0.0,0.0,0,100.0,9700.0,38.7
67,0.0,106.0445387063,0,0.0,12000.0,23.8
68,0.0,94.0261576529,0,23.5065394132,13300.0,26.3
69,0.0,58.6956521739,0,50.0,12300.0,30.1
70,0.0,35.8695652174,0,72.8260869565,12300.0,33.8
71,0.0,0.0,0,85.7193354542,9700.0,38.7
72,0.0,106.0445387063,0,0.0,12000.0,23.8
73,33.8343589226,84.3584305408,0,0.0,12900.0,36.3
74,58.7914859276,58.0770590315,0,0.0,12400.0,41.8
75,96.0355089277,39.589961117,0,0.0,14000.0,50.6
76,93.6346212045,8.112407211,0,0.0,10200.0,75.1
78,0.0,0.0,0,17.0,1900.0,72.5
79,0.0,0.0,0,21.0,2400.0,62.8
80,0.0,0.0,0,41.0,4600.0,51.3
81,0.0,0.0,0,50.0,5650.0,48.1
82,0.0,0.0,0,37.9992930364,4300.0,43.7
83,0.0,0.0,0,68.9289501591,7800.0,38.7
84,0.0,0.0,0,85.7193354542,9700.0,37.3
